City,Month,Ridership (Million),Source,URL
Bengaluru,2023-October,0.92,Bengaluru's Namma Metro ridership hits fresh daily record of 9.17 lakh - Deccan Herald...,https://news.google.com/rss/articles/CBMiywFBVV95cUxQaEZGTUMtUHp0SHY4Q2Ixc2t3SmRfWnkySG5vODhzYmh2bkVmVmlhWjVBMDg3WUVkRElUaFAwdnlRNVI0YzZERF8tT3dGZGI2UG5XOXNNcHRSUmZRLUJLSGhiSWp0ZDNiMFBjdHd1R2VFZm4tYlduMjB5R1lWSnJ1UzNQZDZTc0F1ak02MjBzMEFUNmxFM05mMXMzOFBvZ1RsMjhkbWtfYzFjelhrV2tSWUswR3ZlS0duMTZHdTJzZ3BRZVBpdTg1aDZEaw?oc=5
Bengaluru,2023-September,0.76,Namma Metro's average daily ridership hits fresh high of 7.62 lakh - Deccan Herald...,https://news.google.com/rss/articles/CBMixgFBVV95cUxPSHdWdnNhREQ2b24xRzd6LUtGSWZIWnZZdkpvQ1BQTEx3QnViMk1zbjVHZEx1NDJoQVk3NXFxdkRhTElRMnpoWVJxMFNZODdPQ1RXaFBPa2d5bHBiSlQ0NVdRYUEzUC1ZNWFBcE4wbTFvaG5PX2lSNGZBVjZEeXdvc3BSMWh2aUlobkM4SFJ3YUJycXpfbkwxaUJQS1lmYlI4OTVrdnRUbFBRZlRRSExaR0RlbFlFT0NxbWR3WEhPVGZkSXBDVlE?oc=5
Bengaluru,2024-April,0.91,"Namma Metro Sees 9.08 Lakh Riders, Second-Highest Daily Footfall Post Fare Hike - Deccan Herald...",https://news.google.com/rss/articles/CBMi8AFBVV95cUxOWmV1Q0d1R29HOWdPNUIwTjI3dFZRZHhSd2lnTUF5V2xzeXZORzBlTGhnRjlOOXRQN1NhUjFjTjFzYmxlaEhicDdrcWMtMVdZUEFjX1QyWExSMHNIcDJqTUI4d19ITm1nNnVFSVJwTTVkeHMtaXBxVnhVN1FFMzdkR010SXNFVWV3dnl3VzBnR0w5Z04yRWcyYW1BODc0QmFMcHRGZVBEUW51LUh3NVRkVXdXNk92dm85a3Q5VWNXYzdwSUZDaHcybl9BRjFTOXptTXo5WWxyZ21MaHNJTjVyX3dmOTVBVHVjNnhabk5qQ0g?oc=5
Bengaluru,2024-February,0.91,"Namma Metro Sees 9.08 Lakh Riders, Second-Highest Daily Footfall Post Fare Hike - Deccan Herald...",https://news.google.com/rss/articles/CBMi8AFBVV95cUxOWmV1Q0d1R29HOWdPNUIwTjI3dFZRZHhSd2lnTUF5V2xzeXZORzBlTGhnRjlOOXRQN1NhUjFjTjFzYmxlaEhicDdrcWMtMVdZUEFjX1QyWExSMHNIcDJqTUI4d19ITm1nNnVFSVJwTTVkeHMtaXBxVnhVN1FFMzdkR010SXNFVWV3dnl3VzBnR0w5Z04yRWcyYW1BODc0QmFMcHRGZVBEUW51LUh3NVRkVXdXNk92dm85a3Q5VWNXYzdwSUZDaHcybl9BRjFTOXptTXo5WWxyZ21MaHNJTjVyX3dmOTVBVHVjNnhabk5qQ0g?oc=5
Bengaluru,2024-January,0.92,Bengaluru's Namma Metro ridership hits fresh daily record of 9.17 lakh - Deccan Herald...,https://news.google.com/rss/articles/CBMiywFBVV95cUxQaEZGTUMtUHp0SHY4Q2Ixc2t3SmRfWnkySG5vODhzYmh2bkVmVmlhWjVBMDg3WUVkRElUaFAwdnlRNVI0YzZERF8tT3dGZGI2UG5XOXNNcHRSUmZRLUJLSGhiSWp0ZDNiMFBjdHd1R2VFZm4tYlduMjB5R1lWSnJ1UzNQZDZTc0F1ak02MjBzMEFUNmxFM05mMXMzOFBvZ1RsMjhkbWtfYzFjelhrV2tSWUswR3ZlS0duMTZHdTJzZ3BRZVBpdTg1aDZEaw?oc=5
Bengaluru,2024-June,0.91,"Namma Metro Sees 9.08 Lakh Riders, Second-Highest Daily Footfall Post Fare Hike - Deccan Herald...",https://news.google.com/rss/articles/CBMi8AFBVV95cUxOWmV1Q0d1R29HOWdPNUIwTjI3dFZRZHhSd2lnTUF5V2xzeXZORzBlTGhnRjlOOXRQN1NhUjFjTjFzYmxlaEhicDdrcWMtMVdZUEFjX1QyWExSMHNIcDJqTUI4d19ITm1nNnVFSVJwTTVkeHMtaXBxVnhVN1FFMzdkR010SXNFVWV3dnl3VzBnR0w5Z04yRWcyYW1BODc0QmFMcHRGZVBEUW51LUh3NVRkVXdXNk92dm85a3Q5VWNXYzdwSUZDaHcybl9BRjFTOXptTXo5WWxyZ21MaHNJTjVyX3dmOTVBVHVjNnhabk5qQ0g?oc=5
Bengaluru,2024-March,2.5,25 lakh Namma Metro passengers opt for QR code ticketing in Bengaluru - The Hindu...,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPVEw3emlPdTN3ckR6NkZXRndLX1VtMVAwMHc4Zk9LNTRJMjBKTEZiYjFvRXNtc09abmJFdXpCd2Y4d2NSblB4UEJ2WUQwXzZUTS1COV91S2lRZDRBMHU4VXdjUjRPUXJnekpObUxKajJ0Zi1DRmFWdnhjaHEtSzJqNVZVdjJBalFrR0VXeDVtQ0pISkkwVnVoMmFMc2FoYlpmRjJWdVpwNVZ1ay1ZVUh4MFVBZkJLSER0YlZORmF3MXgzeUZzYkh3OVU4VnpjdUJiVGVSStIB2wFBVV95cUxPRkRVZlh4RWY5dGY4eGY2d1A0cVVWVGdyNVpreGZiWFZaVHhUQ0lHUDlYN3V6T1B2eElURjVpdWlieFNuc1Zha19RWm82eHBfMHhnSktqN2VkTWJVaEV0T3NnbUxQS2dGOHZfcDBnbUtPdWRFNjNwMXBsRzlpVHB4VDZYYlliV1dFeVBGZE5PY2ViWGk5TUd1dkNmR2ZuVURHNUVacGk1d3VXUXR0SlpHaXFkZXJpWURvVmkwTndiNUxRUWtkbklwM2ROb3NCbTdOanRLcTRRNVhPb0U?oc=5
Bengaluru,2024-May,0.92,Bengaluru's Namma Metro ridership hits fresh daily record of 9.17 lakh - Deccan Herald...,https://news.google.com/rss/articles/CBMiywFBVV95cUxQaEZGTUMtUHp0SHY4Q2Ixc2t3SmRfWnkySG5vODhzYmh2bkVmVmlhWjVBMDg3WUVkRElUaFAwdnlRNVI0YzZERF8tT3dGZGI2UG5XOXNNcHRSUmZRLUJLSGhiSWp0ZDNiMFBjdHd1R2VFZm4tYlduMjB5R1lWSnJ1UzNQZDZTc0F1ak02MjBzMEFUNmxFM05mMXMzOFBvZ1RsMjhkbWtfYzFjelhrV2tSWUswR3ZlS0duMTZHdTJzZ3BRZVBpdTg1aDZEaw?oc=5
Delhi,2023-April,7.24,"At 72.38 lakh, Delhi Metro records highest-ever daily ridership on August 13 - The Economic Times...",https://news.google.com/rss/articles/CBMi9AFBVV95cUxPYjA0b3lMYWstTC12dFI1TG9SM2FzNmdnYWpfSVdhRy1kaDlMSkQ2dWM5N3ZUSzdwYk1VUWUxWS1MZDhhX3FncWRoQXp3NmFXV1VDMzFxTWFyQ00wQ3F1WHBpQXBJck1RUzQxYXBibFl5NDA5OXpjRHk1b0k1SDZOSEVGemNHaWcwWU52RDFjUlMwSmdWVmU0a1RtUXlsYkxJVExFRUxXVjNRMWdWN2ZRR2VDSEY0MWh2VWM1OGVpTDF4QWJXSXZ0Sk4wQVRwNDl5OGVSdy05dlc1X2JmZ2dzYU5MNFpBaU9aVmNTYnBMc0Z0S2ZI0gH6AUFVX3lxTFB5bEYxUnhYYmt3d1Z6dk5tU0w2a1lXY3hTRVhsMlRpQ2N6YmlBaWVrdnZlUmZEcFdpQ0ZsTTNZZFNGcUhyVms4TGhUZHNKYkhzRTE5dS04TkM0QmFDeHFmNWsycmg0ME1CQmU3QW0yMDdXREU1enRKbTY0c21UcEZ0ejFrZjBhTjh5ZHFadnYyaHpYQ0ZaTmJRcTl6S0ZlRzJtaG81ZzlaRFF3R25oTEtpc1VTdmNZS0NJMHctT0JPcUlkQW5CYlBBVmxXMFlZS1R6RVR0ZEdEblNhSmFkZzBmakJDTWpacjA2NGwzQmYySHhkRl9VdjBlZVE?oc=5
Delhi,2023-August,7.24,"At 72.38 lakh, Delhi Metro records highest-ever daily ridership on August 13 - The Economic Times...",https://news.google.com/rss/articles/CBMi9AFBVV95cUxPYjA0b3lMYWstTC12dFI1TG9SM2FzNmdnYWpfSVdhRy1kaDlMSkQ2dWM5N3ZUSzdwYk1VUWUxWS1MZDhhX3FncWRoQXp3NmFXV1VDMzFxTWFyQ00wQ3F1WHBpQXBJck1RUzQxYXBibFl5NDA5OXpjRHk1b0k1SDZOSEVGemNHaWcwWU52RDFjUlMwSmdWVmU0a1RtUXlsYkxJVExFRUxXVjNRMWdWN2ZRR2VDSEY0MWh2VWM1OGVpTDF4QWJXSXZ0Sk4wQVRwNDl5OGVSdy05dlc1X2JmZ2dzYU5MNFpBaU9aVmNTYnBMc0Z0S2ZI0gH6AUFVX3lxTFB5bEYxUnhYYmt3d1Z6dk5tU0w2a1lXY3hTRVhsMlRpQ2N6YmlBaWVrdnZlUmZEcFdpQ0ZsTTNZZFNGcUhyVms4TGhUZHNKYkhzRTE5dS04TkM0QmFDeHFmNWsycmg0ME1CQmU3QW0yMDdXREU1enRKbTY0c21UcEZ0ejFrZjBhTjh5ZHFadnYyaHpYQ0ZaTmJRcTl6S0ZlRzJtaG81ZzlaRFF3R25oTEtpc1VTdmNZS0NJMHctT0JPcUlkQW5CYlBBVmxXMFlZS1R6RVR0ZEdEblNhSmFkZzBmakJDTWpacjA2NGwzQmYySHhkRl9VdjBlZVE?oc=5
